( having * having | select creation , name , budget_in_billions from department <n>
( having * having , born_state having name born_state having value by having | select t2 . claim_status_name from claims_processing as t1 join claims_processing_stages as t2 on t1 . claim_stage_id = t2 . claim_stage_id group by t1 . claim_stage_id order by count ( * ) desc limit value <n>
( having * having name born_state having value by having | select claim_id from claims order by date_claim_made desc limit value <n>
( having * having | select count ( * ) from claims_processing_stages <n>
( having * having | select count ( * ) from claims_processing_stages <n>
( having * having , born_state having name born_state having value by having | select payment_method_code from payments group by payment_method_code order by count ( * ) desc limit value <n>
( having * having | select count ( * ) from claims_processing_stages <n>
( having * having , born_state having name born_state having value by having | select payment_method_code from payments group by payment_method_code order by count ( * ) desc limit value <n>
( having * having | select count ( * ) from claims_processing_stages <n>
( having * having = ( having * having | select customer_details from customers except select t2 . customer_details from policies as t1 join customers as t2 on t1 . customer_id = t2 . customer_id <n>
( having * having | select count ( * ) from claims_processing_stages <n>
( having * having name born_state having by having | select patient from undergoes order by dateundergoes limit value <n>
( having * having name born_state having by having | select name from procedures order by cost limit value <n>
( having * having , born_state having order having | select t1 . name from physician as t1 join patient as t2 on t1 . employeeid = t2 . pcp group by t1 . employeeid having count ( * ) > = value <n>
( having * having name born_state having value by having | select t1 . name from physician as t1 join trained_in as t2 on t1 . employeeid = t2 . physician join procedures as t3 on t3 . code = t2 . treatment order by t3 . cost desc limit value <n>
( having * having = ( having * having ) having | select name from patient except select t1 . name from patient as t1 join prescribes as t2 on t2 . patient = t1 . ssn join medication as t3 on t2 . medication = t3 . code where t3 . name = value <n>
( having * having name born_state having value by having | select t1 . name from physician as t1 join trained_in as t2 on t1 . employeeid = t2 . physician join procedures as t3 on t3 . code = t2 . treatment order by t3 . cost desc limit value <n>
( having * having ) having | select count ( t1 . ssn ) from patient as t1 join prescribes as t2 on t1 . ssn = t2 . patient join physician as t3 on t2 . physician = t3 . employeeid where t3 . name = value <n>
( having * having ) having | select physician , department from affiliated_with where primaryaffiliation = value <n>
( having * having name born_state having value by having | select t1 . name from physician as t1 join trained_in as t2 on t1 . employeeid = t2 . physician join procedures as t3 on t3 . code = t2 . treatment order by t3 . cost desc limit value <n>
( having * having ) having head having | select count ( * ) from physician as t1 join affiliated_with as t2 on t1 . employeeid = t2 . physician join department as t3 on t2 . department = t3 . departmentid where t3 . name = value or t3 . cost > value <n>
( having * having , born_state having | select count ( * ) , t1 . name from medication as t1 join prescribes as t2 on t1 . code = t2 . medication group by t1 . name <n>
( having * having | select count ( * ) from physician <n>
( having * having | select count ( * ) from physician <n>
( having * having ) having | select t1 . name from physician as t1 join trained_in as t2 on t1 . employeeid = t2 . physician join procedures as t3 on t3 . code = t2 . treatment where t3 . name = value <n>
( having * having ) having | select physician , department from affiliated_with where primaryaffiliation = value <n>
( having * having name born_state having by having | select patient from undergoes order by dateundergoes limit value <n>
( having * having name born_state having by having | select name from procedures order by cost limit value <n>
( having * having name born_state having | select name from procedures order by cost limit value <n>
( having * having ) having head having | select count ( * ) from physician as t1 join affiliated_with as t2 on t1 . employeeid = t2 . physician join department as t3 on t2 . department = t3 . departmentid where t3 . name = value or t3 . cost > value <n>
( having * having | select count ( * ) from physician <n>
( having * having | select count ( * ) from physician <n>
( having * having name born_state having by having | select name from procedures order by cost limit value <n>
( having * having ) having | select physician , department from affiliated_with where primaryaffiliation = value <n>
( having * having ) having | select avg ( t3 . cost ) from physician as t1 join trained_in as t2 on t1 . employeeid = t2 . physician join procedures as t3 on t3 . code = t2 . treatment where t1 . nurse = value <n>
( having * having ) having | select t1 . name from physician as t1 join trained_in as t2 on t1 . employeeid = t2 . physician join procedures as t3 on t3 . code = t2 . treatment where t3 . name = value <n>
( having * having = ( having * having ) having | select name from patient except select t1 . name from patient as t1 join prescribes as t2 on t2 . patient = t1 . ssn join medication as t3 on t2 . medication = t3 . code where t3 . name = value <n>
( having * having ) having ! ( having * having ) having | select t1 . name from physician as t1 join affiliated_with as t2 on t1 . employeeid = t2 . physician join department as t3 on t2 . department = t3 . departmentid where t3 . name = value intersect select t1 . name from physician as t1 join affiliated_with as t2 on t1 . employeeid = t2 . physician join department as t3 on t2 . department = t3 . departmentid where t3 . name = value <n>
( having * having ) having head having | select t1 . name from physician as t1 join affiliated_with as t2 on t1 . employeeid = t2 . physician join department as t3 on t2 . department = t3 . departmentid where t3 . name = value or t3 . name = value <n>
( having * having ) having | select count ( t1 . ssn ) from patient as t1 join prescribes as t2 on t1 . ssn = t2 . patient join physician as t3 on t2 . physician = t3 . employeeid where t3 . name = value <n>
( having * having ) having | select t1 . name from physician as t1 join trained_in as t2 on t1 . employeeid = t2 . physician join procedures as t3 on t3 . code = t2 . treatment where t3 . name = value <n>
( having * having | select count ( * ) from ship <n>
( having * having | select type , nationality from ship <n>
( having * having ) having head having | select name from ship where nationality = value or nationality = value <n>
( having * having ) having ( having * having | select name from ship where ship_id not in ( select ship_id from mission ) <n>
( having * having , born_state having name born_state having value by having | select type from ship group by type order by count ( * ) desc limit value <n>
( having * having | select avg ( ship ) from ship <n>
( having * having | select t1 . code , t1 . fate , t2 . name from mission as t1 join ship as t2 on t1 . ship_id = t2 . ship_id <n>
( having * having ) having | select t2 . name from mission as t1 join ship as t2 on t1 . ship_id = t2 . ship_id where t1 . launched_year > value <n>
( having * having ) having ! ( having * having ) having | select type from ship where flag = value intersect select type from ship where flag = value <n>
( having * having | select count ( * ) from list <n>
( having * having ) having | select firstname from list where classroom = value <n>
( having * having , born_state having | select classroom , count ( * ) from list group by classroom <n>
( having * having | select classroom , classroom from list <n>
( having * having ) having from having | select count ( * ) from list as t1 join teachers as t2 on t1 . classroom = t2 . classroom where t2 . firstname = value and t2 . lastname = value <n>
( having * having ) having | select lastname from list where classroom = value <n>
( having * having ) having | select firstname from list where classroom = value <n>
( having * having ) having | select lastname from list where classroom = value <n>
( having * having | select firstname , lastname from list <n>
( having * having ) having from having | select t1 . firstname , t1 . lastname from list as t1 join teachers as t2 on t1 . classroom = t2 . classroom where t2 . firstname = value and t2 . lastname = value <n>
( having * having ) having from having | select t1 . firstname , t1 . lastname from list as t1 join teachers as t2 on t1 . classroom = t2 . classroom where t2 . firstname = value and t2 . lastname = value <n>
( having * having ) having from having | select count ( * ) from list as t1 join teachers as t2 on t1 . classroom = t2 . classroom where t2 . firstname = value and t2 . lastname = value <n>
( having * having ) having from having | select count ( * ) from list as t1 join teachers as t2 on t1 . classroom = t2 . classroom where t2 . firstname = value and t2 . lastname = value <n>
( having * having ) having from having | select count ( * ) from list as t1 join teachers as t2 on t1 . classroom = t2 . classroom where t2 . firstname = value and t2 . lastname = value <n>
( having * having ) having from having | select t1 . firstname , t1 . lastname from list as t1 join teachers as t2 on t1 . classroom = t2 . classroom where t2 . firstname = value and t2 . lastname = value <n>
( having * having = ( having * having ) having | select lastname from list except select t1 . lastname from list as t1 join teachers as t2 on t1 . classroom = t2 . classroom where t2 . lastname = value <n>
( having * having , born_state having | select classroom , count ( * ) from list group by classroom <n>
( having * having , born_state having | select classroom , count ( * ) from list group by classroom <n>
( having * having , born_state having | select classroom , count ( * ) from list group by classroom <n>
( having * having , born_state having name born_state having value by having | select t1 . firstname , t1 . lastname from list as t1 join teachers as t2 on t1 . classroom = t2 . classroom group by t2 . classroom order by count ( * ) desc limit value <n>
( having * having ) having | select count ( * ) from wedding where year = value <n>
( having * having ) having head having | select name from company where sales_in_billion > value or sales_in_billion > value <n>
( having * having , born_state having name born_state having value by having | select t2 . name from wedding as t1 join people as t2 on t1 . male_id = t2 . people_id group by t2 . name order by count ( * ) desc limit value <n>
( having * having | select name , open_date , date from debate <n>
( having * having | select t3 . name , t2 . date , t2 . venue from debate_people as t1 join debate as t2 on t1 . debate_id = t2 . debate_id join people as t3 on t1 . negative = t3 . people_id <n>
( having * having | select count ( * ) from film <n>
( having * having | select avg ( gross_in_dollar ) from film <n>
( having * having | select low_estimate , high_estimate from film_market_estimation <n>
( having * having | select count ( * ) from film <n>
( having * having name born_state having | select country from market order by country asc <n>
( having * having , born_state having name born_state having value by having | select studio from film group by studio order by count ( * ) desc limit value <n>
( having * having ) having | select type from film_market_estimation where year = value <n>
( having * having | select low_estimate , high_estimate from film_market_estimation <n>
( having * having name born_state having value by having | select studio from film order by film_id desc limit value <n>
( having * having , born_state having name born_state having value by having | select studio from film group by studio order by count ( * ) desc limit value <n>
( having * having = ( having * having | select studio from film except select studio from film <n>
( having * having ) having ! ( having * having ) having | select t1 . title from film as t1 join film_market_estimation as t2 on t1 . film_id = t2 . film_id where t2 . studio = value intersect select t1 . title from film as t1 join film_market_estimation as t2 on t1 . film_id = t2 . film_id where t2 . studio = value <n>
( having * having = ( having * having ) having | select studio from film except select studio from film where director = value <n>
( having * having name born_state having value by having | select studio from film order by film_id desc limit value <n>
( having * having ) having ( having * having | select title from film where film_id not in ( select film_id from film_market_estimation ) <n>
( having * having | select role_code , role_name , role_description from roles <n>
( having * having | select role_code , role_name , role_description from roles <n>
( having * having ) having | select t2 . role_name , t2 . role_description from employees as t1 join roles as t2 on t1 . role_code = t2 . role_code where t1 . first_name = value <n>
( having * having ) having head having | select count ( * ) from all_documents where document_type_code = value or document_type_code = value <n>
( having * having | select role_code , role_name , role_description from roles <n>
( having * having ) having | select role_description from roles where role_name = value <n>
( having * having | select role_code , role_name , role_description from roles <n>
( having * having ) having | select role_description from roles where role_name = value <n>
( having * having | select count ( * ) from ref_document_types <n>
( having * having ) having | select t2 . role_name , t2 . role_description from employees as t1 join roles as t2 on t1 . role_code = t2 . role_code where t1 . first_name = value <n>
( having * having | select count ( * ) from ref_document_types <n>
( having * having ) having | select t2 . role_name , t2 . role_description from employees as t1 join roles as t2 on t1 . role_code = t2 . role_code where t1 . first_name = value <n>
( having * having ) having | select t2 . name from all_documents as t1 join ref_document_types as t2 on t1 . document_type_code = t2 . document_type_code where t1 . document_name = value <n>
( having * having , born_state having name born_state having value by having | select location_code from document_locations group by location_code order by count ( * ) desc limit value <n>
( having * having , born_state having order having | select location_code from document_locations group by location_code having count ( * ) > = value <n>
( having * having ) having | select t2 . role_name , t2 . role_description from employees as t1 join roles as t2 on t1 . role_code = t2 . role_code where t1 . first_name = value <n>
( having * having ) having head having | select count ( * ) from all_documents where document_type_code = value or document_type_code = value <n>
( having * having | select role_code , role_name , role_description from roles <n>
( having * having | select role_code , role_name , role_description from roles <n>
( having * having , born_state having | select role_code , count ( * ) from employees group by role_code <n>
( having * having , born_state having name born_state having value by having | select location_code from document_locations group by location_code order by count ( * ) desc limit value <n>
( having * having , born_state having name born_state having value by having | select location_code from document_locations group by location_code order by count ( * ) desc limit value <n>
( having * having , born_state having | select role_code , count ( * ) from employees group by role_code <n>
( having * having , born_state having | select role_code , count ( * ) from employees group by role_code <n>
( having * having ) having | select role_description from roles where role_name = value <n>
( having * having = ( having * having | select employee_id from employees except select destroyed_by_employee_id from documents_to_be_destroyed <n>
( having * having ) having head having | select count ( * ) from all_documents where document_type_code = value or document_type_code = value <n>
( having * having | select resname from restaurant <n>
( having * having | select fname , lname from student <n>
( having * having ) having | select fname from student where major = value <n>
( having * having ) having | select clubdesc from club where clubname = value <n>
( having * having ) having | select count ( * ) from student where advisor = value <n>
( having * having ) having | select count ( * ) from student where advisor = value <n>
( having * having ) having | select fname from student where major = value <n>
( having * having ) having , born_state having name born_state having value by having | select major from student where sex = value group by major order by count ( * ) desc limit value <n>
( having * having , born_state having name born_state having value by having | select gtype from video_games group by gtype order by count ( * ) desc limit value <n>
( having * having ) having | select clubdesc from club where clubname = value <n>
( having * having ) having | select clubdesc from club where clubname = value <n>
( having * having ) having | select clubdesc from club where clubname = value <n>
( having * having ) having | select count ( * ) from student where advisor = value <n>
( having * having ) having | select fname from student where major = value <n>
( having group having * having ) having | select count ( distinct major ) from student where sex = value <n>
( having * having ) having | select count ( * ) from student where advisor = value <n>
( having * having ) having from having | select t3 . fname , t3 . lname from club as t1 join member_of_club as t2 on t1 . clubid = t2 . clubid join student as t3 on t2 . stuid = t3 . stuid where t1 . clubname = value and t3 . major = value <n>
( having * having ) having | select count ( * ) from student where advisor = value <n>
( having * having ) having head having | select count ( * ) from club as t1 join member_of_club as t2 on t1 . clubid = t2 . clubid join student as t3 on t2 . stuid = t3 . stuid where t3 . fname = value or t3 . major = value <n>
( having * having ) having | select avg ( t3 . age ) from club as t1 join member_of_club as t2 on t1 . clubid = t2 . clubid join student as t3 on t2 . stuid = t3 . stuid where t1 . clubname = value <n>
( having * having ) having | select avg ( t3 . age ) from club as t1 join member_of_club as t2 on t1 . clubid = t2 . clubid join student as t3 on t2 . stuid = t3 . stuid where t1 . clubname = value <n>
( having * having ) having ! ( having * having ) having | select t1 . grant_amount from grants as t1 join documents as t2 on t1 . grant_id = t2 . grant_id where t2 . sent_date < value intersect select grant_amount from grants where grant_end_date > value <n>
( having * having name born_state having value by having | select date_to from project_staff order by date_to desc limit value <n>
( having * having ) having ( having * having | select project_details from projects where project_id not in ( select project_id from project_staff ) <n>
( having * having name born_state having value by having | select date_to from project_staff order by date_to desc limit value <n>
( having * having ) having head having | select t1 . response_received_date from documents as t1 join document_types as t2 on t1 . document_type_code = t2 . document_type_code join grants as t3 on t1 . grant_id = t3 . grant_id where t2 . document_description = value or t3 . grant_amount > value <n>
( having * having = ( having * having | select organisation_id from project_staff except select t1 . project_details from projects as t1 join project_outcomes as t2 on t1 . project_id = t2 . project_id <n>
( having * having | select count ( * ) from project_staff <n>
( having * having , born_state having | select role_code , count ( * ) from project_staff group by role_code <n>
( having * having ) having | select t1 . outcome_description from research_outcomes as t1 join project_outcomes as t2 on t1 . outcome_code = t2 . outcome_code join projects as t3 on t2 . project_id = t3 . project_id where t3 . project_details = value <n>
( having * having ) having | select t1 . outcome_description from research_outcomes as t1 join project_outcomes as t2 on t1 . outcome_code = t2 . outcome_code join projects as t3 on t2 . project_id = t3 . project_id where t3 . project_details = value <n>
( having * having , born_state having name born_state having value by having | select t1 . organisation_type from organisations as t1 join research_staff as t2 on t1 . organisation_id = t2 . employer_organisation_id group by t1 . organisation_type order by count ( * ) desc limit value <n>
( having * having ) having ( having * having | select project_details from projects where project_id not in ( select project_id from project_staff ) <n>
( having * having , born_state having name born_state having value by having | select t1 . organisation_type from organisations as t1 join research_staff as t2 on t1 . organisation_id = t2 . employer_organisation_id group by t1 . organisation_type order by count ( * ) desc limit value <n>
( having * having ) having ! ( having * having ) having | select t1 . grant_amount from grants as t1 join documents as t2 on t1 . grant_id = t2 . grant_id where t2 . sent_date < value intersect select grant_amount from grants where grant_end_date > value <n>
( having * having , born_state having name born_state having value by having | select t1 . organisation_type from organisations as t1 join research_staff as t2 on t1 . organisation_id = t2 . employer_organisation_id group by t1 . organisation_type order by count ( * ) desc limit value <n>
( having * having name born_state having | select staff_details from research_staff order by staff_details asc <n>
( having * having ) having head having | select count ( * ) from project_staff where role_code = value or document_type_code = value <n>
( having * having ) having | select t1 . outcome_description from research_outcomes as t1 join project_outcomes as t2 on t1 . outcome_code = t2 . outcome_code join projects as t3 on t2 . project_id = t3 . project_id where t3 . project_details = value <n>
( having * having , born_state having name born_state having value by having | select t1 . organisation_type from organisations as t1 join research_staff as t2 on t1 . organisation_id = t2 . employer_organisation_id group by t1 . organisation_type order by count ( * ) desc limit value <n>
( having * having name born_state having | select staff_details from research_staff order by staff_details asc <n>
( having * having | select count ( * ) from project_staff <n>
( having * having ) having ! ( having * having ) having | select t1 . grant_amount from grants as t1 join documents as t2 on t1 . grant_id = t2 . grant_id where t2 . sent_date < value intersect select grant_amount from grants where grant_end_date > value <n>
( having * having , born_state having name born_state having value by having | select t1 . organisation_type from organisations as t1 join research_staff as t2 on t1 . organisation_id = t2 . employer_organisation_id group by t1 . organisation_type order by count ( * ) desc limit value <n>
( having * having | select count ( * ) from person <n>
( having * having ) having from having | select avg ( age ) from person where job = value and job = value <n>
( having group having * having | select count ( distinct job ) from person <n>
( having * having ) having from having | select t2 . friend from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . name = value and t1 . job = value <n>
( having * having ) having from having | select t2 . friend from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . name = value and t1 . job = value <n>
( having * having ) having from having | select t2 . friend from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . name = value and t1 . job = value <n>
( having * having ) having | select count ( * ) from person where gender = value <n>
( having * having , born_state having | select avg ( age ) , job from person group by job <n>
( having * having | select count ( * ) from person <n>
( having * having , born_state having | select count ( * ) , gender from person group by gender <n>
( having * having ) having from having | select count ( * ) from person where job = value and age < value <n>
( having * having name born_state having value | select name from person order by age desc <n>
( having * having name born_state having | select name from person order by age asc <n>
( having * having ) having head having | select name from person where job = value or job = value <n>
( having * having = ( having * having ) having | select name from person except select t2 . name from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . name = value <n>
( having * having = ( having * having ) having | select name from person except select t2 . name from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . name = value <n>
( having * having | select count ( * ) from person <n>
( having * having ) having from having | select t2 . friend from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . name = value and t1 . job = value <n>
( having * having ) having from having | select t2 . friend from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . name = value and t1 . job = value <n>
( having * having ) having from having | select t2 . friend from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . name = value and t1 . job = value <n>
( having * having ) having ( having * having | select t2 . name , t3 . name from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . age > ( select avg ( age ) from person ) <n>
( having * having ) having from having | select t2 . friend from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . name = value and t1 . job = value <n>
( having * having ) having ( having * having | select name from person where age = ( select max ( age ) from person ) <n>
( having * having = ( having * having ) having | select name from person except select t2 . name from person as t1 join personfriend as t2 on t1 . name = t2 . friend where t2 . name = value <n>
( having * having name born_state having value by having | select t2 . name from person as t1 join personfriend as t2 on t1 . name = t2 . name order by t1 . age desc limit value <n>
( having * having ) having | select t2 . name from person as t1 join personfriend as t2 on t1 . name = t2 . name where t1 . name = value <n>
( having * having | select name , location from member <n>
( having * having , born_state having name born_state having value by having | select country from member group by country order by count ( * ) desc limit value <n>
( having * having name born_state having | select name from member order by name asc <n>
( having * having ) having | select name from member where country ! = value <n>
( having * having name born_state having | select image_name , image_url from images order by image_name asc <n>
( having * having ) having | select document_type_code from documents where document_name = value <n>
( having * having , born_state having name born_state having value by having | select document_type_code from documents group by document_type_code order by count ( * ) desc limit value <n>
( having * having , born_state having name born_state having value by having | select document_type_code from documents group by document_type_code order by count ( * ) desc limit value <n>
( having * having name born_state having value by having | select document_name , access_count from documents order by access_count desc limit value <n>
( having * having = ( having * having | select document_name from documents except select t1 . document_name from documents as t1 join document_sections as t2 on t1 . document_code = t2 . document_code join document_sections_images as t3 on t2 . section_id = t3 . section_id <n>
( having * having = ( having * having | select document_name from documents except select t1 . document_name from documents as t1 join document_sections as t2 on t1 . document_code = t2 . document_code join document_sections_images as t3 on t2 . section_id = t3 . section_id <n>
( having * having ) having | select avg ( access_count ) from documents where document_type_code = value <n>
( having * having = ( having * having | select document_name from documents except select t1 . document_name from documents as t1 join document_sections as t2 on t1 . document_code = t2 . document_code join document_sections_images as t3 on t2 . section_id = t3 . section_id <n>
( having * having ) having | select document_name from documents where document_name = value <n>
( having * having = ( having * having | select document_name from documents except select t1 . document_name from documents as t1 join document_sections as t2 on t1 . document_code = t2 . document_code join document_sections_images as t3 on t2 . section_id = t3 . section_id <n>
( having * having , born_state having name born_state having value by having | select avg ( access_count ) , sum ( access_count ) from documents group by document_type_code order by count ( * ) desc limit value <n>
( having * having , born_state having | select document_type_code , count ( * ) from documents group by document_type_code <n>
( having * having | select count ( * ) from office_locations <n>
( having * having name born_state having value | select name from buildings order by height desc <n>
( having * having name born_state having | select name from buildings order by name asc <n>
( having * having ) having | select t2 . name from office_locations as t1 join buildings as t2 on t1 . building_id = t2 . id join companies as t3 on t1 . company_id = t3 . id where t3 . name = value <n>
( having group having * having | select count ( distinct industry ) from office_locations <n>
( having * having name born_state having value | select name from buildings order by height desc <n>
( having * having , born_state having order having | select headquarters from companies group by headquarters having count ( * ) > = value <n>
( having * having name born_state having value | select name from buildings order by height desc <n>
( having * having | select count ( * ) from office_locations <n>
( having * having name born_state having value by having | select stories from buildings order by height desc limit value <n>
( having * having ) having ( having * having | select name from buildings where id not in ( select building_id from office_locations ) <n>
( having * having ) having head having | select count ( * ) from office_locations as t1 join buildings as t2 on t1 . building_id = t2 . id where t1 . name = value or t2 . industry = value <n>
( having * having | select count ( * ) from department_stores <n>
( having * having ) having head having | select product_name from products where product_price > value or product_price > value <n>
( having * having , born_state having | select product_type_code , sum ( product_price ) from products group by product_type_code <n>
( having * having | select product_name , product_type_code from products <n>
( having * having , born_state having order having | select product_type_code from products group by product_type_code having count ( * ) > = value <n>
( having * having name born_state having | select chair_name from festival_detail order by year asc <n>
( having * having name born_state having value by having | select festival_id from festival_detail order by year desc limit value <n>
( having * having name born_state having value by having | select product_name from festival_detail order by year desc limit value <n>
( having * having name born_state having | select festival_name from festival_detail order by year asc <n>
( having * having , born_state having | select type , count ( * ) from artwork group by type <n>
( having * having ) having ( having * having | select festival_name from festival_detail where festival_id not in ( select festival_id from artwork ) <n>
( having * having ) having ! ( having * having ) having | select type from artwork where director = value intersect select type from artwork where num_of_audience > value <n>
( having * having | select count ( * ) from premises <n>
( having * having ) having | select t2 . customer_name from mailshot_customers as t1 join customers as t2 on t1 . customer_id = t2 . customer_id where t1 . customer_name = value <n>
( having * having , born_state having name born_state having value by having | select t2 . customer_name from mailshot_customers as t1 join customers as t2 on t1 . customer_id = t2 . customer_id group by t1 . customer_id order by count ( * ) desc limit value <n>
( having * having ) having head having | select count ( * ) from customers as t1 join customer_addresses as t2 on t1 . customer_id = t2 . customer_id where outcome_code = value or t2 . outcome_code = value <n>
( having * having | select count ( * ) from student <n>
( having * having ) having | select cname from course where credits = value <n>
( having * having ) having | select count ( * ) from course where credits > value <n>
( having * having ) having | select dname from department where building = value <n>
( having * having | select fname , lname from student <n>
( having * having ) having from having | select fname , lname from faculty where sex = value and building = value <n>
( having * having ) having from having | select fname , lname from faculty where sex = value and building = value <n>
( having * having name born_state having | select dname from department order by mgr_start_date asc <n>
( having * having name born_state having value by having | select fname from student order by age desc limit value <n>
( having * having name born_state having value by having | select cname from course order by credits desc limit value <n>
( having * having name born_state having | select fname , lname from student order by major <n>
( having * having = ( having * having | select dname from department except select t1 . dname from department as t1 join minor_in as t2 on t1 . dno = t2 . dno <n>
( having * having name born_state having by having | select fname , lname from student order by age asc limit value <n>
( having * having name born_state having | select fname , lname from student order by lname <n>
( having * having , born_state having order having | select t1 . dname from department as t1 join minor_in as t2 on t1 . dno = t2 . dno group by t2 . dno having count ( * ) > = value <n>
( having * having ) having | select fname from student where major = value <n>
( having * having | select fname , lname from student <n>
( having * having ) having | select fname from student where major = value <n>
( having * having ) having | select fname from student where major = value <n>
( having * having ) having | select avg ( t2 . gradepoint ) from enrolled_in as t1 join gradeconversion as t2 on t1 . facid = t2 . facid where t1 . dname = value <n>
( having * having ) having head having | select fname from student where sex = value or sex = value <n>
( having * having ) having from having and ( having * having ) having from having | select cname from course where credits = value union select cname from course where credits = value and year = value and hours = value <n>
( having * having name born_state having value by having | select product_name from products order by product_price desc limit value <n>
( having group having * having | select count ( distinct product_type_code ) from products <n>
( having * having ) having | select t1 . staff_id , t1 . staff_gender from staff as t1 join staff_department_assignments as t2 on t1 . staff_id = t2 . staff_id where t2 . job_title_code = value <n>
( having * having , born_state having | select product_type_code , max ( product_price ) , min ( product_price ) from products group by product_type_code <n>
( having * having , born_state having name born_state having value by having | select t1 . customer_name from customers as t1 join customer_orders as t2 on t1 . customer_id = t2 . customer_id group by t1 . customer_id order by count ( * ) desc limit value <n>
( having * having , born_state having | select product_type_code , max ( product_price ) , min ( product_price ) from products group by product_type_code <n>
( having * having name born_state having value by having | select product_name from products order by product_price desc limit value <n>
( having * having name born_state having | select product_name from products order by product_price asc <n>
( having * having ) having ! ( having * having ) having | select t1 . customer_name from customers as t1 join customer_orders as t2 on t1 . customer_id = t2 . customer_id join order_items as t3 on t2 . order_id = t3 . order_id join products as t4 on t3 . product_id = t4 . product_id where t4 . product_name = value intersect select t1 . customer_name from customers as t1 join customer_orders as t2 on t1 . customer_id = t2 . customer_id join order_items as t3 on t2 . order_id = t3 . order_id join products as t4 on t3 . product_id = t4 . product_id where t4 . product_name = value <n>
( having * having ) having ! ( having * having ) having | select t1 . customer_name from customers as t1 join customer_orders as t2 on t1 . customer_id = t2 . customer_id join order_items as t3 on t2 . order_id = t3 . order_id join products as t4 on t3 . product_id = t4 . product_id where t4 . product_name = value intersect select t1 . customer_name from customers as t1 join customer_orders as t2 on t1 . customer_id = t2 . customer_id join order_items as t3 on t2 . order_id = t3 . order_id join products as t4 on t3 . product_id = t4 . product_id where t4 . product_name = value <n>
( having * having , born_state having name born_state having value by having | select dept_store_chain_id from department_stores group by dept_store_chain_id order by count ( * ) desc limit value <n>
( having * having | select max ( customer_code ) , min ( customer_code ) from customers <n>
( having * having name born_state having by having | select product_id , product_type_code from products order by product_price limit value <n>
( having * having ) having name born_state having value by having | select product_name from products where product_type_code = value order by product_price desc limit value <n>
( having * having ) having ( having * having ) having | select product_price from products where product_price > ( select avg ( product_price ) from products where product_id = value ) <n>
( having * having ) having | select t1 . staff_id , t1 . staff_gender from staff as t1 join staff_department_assignments as t2 on t1 . staff_id = t2 . staff_id where t2 . job_title_code = value <n>
( having * having name born_state having | select product_name from products order by product_price asc <n>
( having * having | select max ( customer_code ) , min ( customer_code ) from customers <n>
( having * having ) having head having | select t1 . staff_name , t1 . staff_gender from staff as t1 join staff_department_assignments as t2 on t1 . staff_id = t2 . staff_id where t2 . job_title_code = value or t2 . job_title_code = value <n>
( having * having , born_state having name born_state having value by having | select dept_store_chain_id from department_stores group by dept_store_chain_id order by count ( * ) desc limit value <n>
( having * having | select max ( customer_code ) , min ( customer_code ) from customers <n>
( having * having ) having | select t1 . staff_id , t1 . staff_gender from staff as t1 join staff_department_assignments as t2 on t1 . staff_id = t2 . staff_id where t2 . job_title_code = value <n>
( having * having name born_state having | select product_name from products order by product_price asc <n>
( having * having , born_state having order having | select product_type_code from products group by product_type_code having count ( * ) > = value <n>
( having * having ) having = ( having * having ) having | select t1 . staff_name , t1 . staff_gender from staff as t1 join staff_department_assignments as t2 on t1 . staff_id = t2 . staff_id where t2 . job_title_code = value except select t1 . staff_name , t1 . staff_gender from staff as t1 join staff_department_assignments as t2 on t1 . staff_id = t2 . staff_id where t2 . job_title_code = value or t2 . job_title_code = value <n>
( having * having | select avg ( product_price ) from products <n>
( having * having name born_state having value by having | select product_name from products order by product_price desc limit value <n>
( having * having | select max ( transit_passengers ) , min ( transit_passengers ) from airport <n>
( having * having ) having | select count ( * ) from aircraft where aircraft = value <n>
( having * having ) having | select count ( * ) from aircraft where aircraft = value <n>
( having * having ) having head having | select t1 . aircraft from aircraft as t1 join airport_aircraft as t2 on t1 . aircraft_id = t2 . aircraft_id join airport as t3 on t2 . airport_id = t3 . airport_id where t3 . airport_name = value or t3 . airport_name = value <n>
( having * having name born_state having value by having | select name from airport order by international_passengers desc limit value <n>
( having * having ) having | select t1 . aircraft , t1 . description from aircraft as t1 join airport_aircraft as t2 on t1 . aircraft_id = t2 . aircraft_id join airport as t3 on t2 . airport_id = t3 . airport_id where t3 . total_passengers > value <n>
( having * having ) having | select avg ( t3 . total_passengers ) from aircraft as t1 join airport_aircraft as t2 on t1 . aircraft_id = t2 . aircraft_id join airport as t3 on t2 . airport_id = t3 . airport_id where t1 . aircraft = value <n>
